id,title,author,genre,year,rating,pages,description,language,purpose,length,moods,image_url
30,Lost Shadow,Sophie Chen,Science,2007,3.7,129,A fascinating Spanish science book that explores the journey.,Spanish,Career growth,Short,Inspired,https://covers.openlibrary.org/b/id/6297985-L.jpg
31,Hidden Shadow,James Kim,Fantasy,2006,3.9,595,A fascinating English fantasy book that explores the shadow.,English,Entertainment,Long,Curious,https://covers.openlibrary.org/b/id/6228275-L.jpg
32,Pragmatic Forest,James Chen,Science,2000,4.1,353,A fascinating Spanish science book that explores the mystery.,Spanish,Learning,Medium,Curious,https://covers.openlibrary.org/b/id/7249010-L.jpg
33,Lost Forest,James Garcia,Fantasy,1999,3.8,943,A fascinating Hindi fantasy book that explores the data.,Hindi,Entertainment,Long,Curious,https://covers.openlibrary.org/b/id/5365805-L.jpg
34,Silent Data,Sophie Smith,Self-Help,1953,4.5,511,A fascinating French self-help book that explores the heart.,French,Entertainment,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/8734131-L.jpg
35,Cosmic History,Robert Rodriguez,Mystery,1978,3.7,284,A fascinating Hindi mystery book that explores the code.,Hindi,Entertainment,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5123983-L.jpg
36,Digital Mystery,Robert Patel,Mystery,1952,4.0,590,A fascinating French mystery book that explores the light.,French,Entertainment,Long,Relaxed,https://covers.openlibrary.org/b/id/8505030-L.jpg
37,Cosmic History,James Kumar,Fantasy,1977,4.5,953,A fascinating French fantasy book that explores the shadow.,French,Motivation,Long,"Relaxed, Curious",https://covers.openlibrary.org/b/id/8357721-L.jpg
38,Secret Mystery,Isabella Lovelace,Fiction,2019,4.1,437,A fascinating Hindi fiction book that explores the dream.,Hindi,Career growth,Long,Relaxed,https://covers.openlibrary.org/b/id/7150019-L.jpg
39,Secret Code,Sophie Turing,Science,1965,4.6,63,A fascinating French science book that explores the dream.,French,Motivation,Short,Curious,https://covers.openlibrary.org/b/id/7005718-L.jpg
40,Dark Journey,Ada Sharma,Self-Help,1963,4.7,421,A fascinating Hindi self-help book that explores the algorithm.,Hindi,Career growth,Long,"Emotional, Curious",https://covers.openlibrary.org/b/id/6581700-L.jpg
41,The Great Light,Robert Patel,Programming,1992,4.8,152,A fascinating Spanish programming book that explores the forest.,Spanish,Career growth,Short,"Curious, Inspired",https://covers.openlibrary.org/b/id/5100056-L.jpg
42,Final Shadow,Maria Turing,Fiction,1960,3.9,168,A fascinating French fiction book that explores the journey.,French,Career growth,Short,"Curious, Inspired",https://covers.openlibrary.org/b/id/5512346-L.jpg
43,Silent Algorithm,Priya Kim,Mystery,1963,5.0,286,A fascinating Spanish mystery book that explores the universe.,Spanish,Motivation,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/8196339-L.jpg
44,Dark Habit,James Sharma,Self-Help,1990,3.7,454,A fascinating Hindi self-help book that explores the mind.,Hindi,Career growth,Long,"Emotional, Inspired",https://covers.openlibrary.org/b/id/5611707-L.jpg
45,Dark Habit,Amit Chen,Science,1988,4.2,127,A fascinating French science book that explores the heart.,French,Learning,Short,"Curious, Inspired",https://covers.openlibrary.org/b/id/7342851-L.jpg
46,Magic Mystery,Priya Dubois,Fantasy,1958,4.2,461,A fascinating French fantasy book that explores the light.,French,Entertainment,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/8762698-L.jpg
47,Hidden Dream,Alan Rodriguez,Self-Help,1985,3.9,110,A fascinating Hindi self-help book that explores the code.,Hindi,Career growth,Short,Inspired,https://covers.openlibrary.org/b/id/5324146-L.jpg
48,Dark Code,Alan Patel,Programming,2016,3.8,270,A fascinating Spanish programming book that explores the history.,Spanish,Career growth,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5884928-L.jpg
49,Infinite Heart,Priya Smith,Self-Help,1984,4.4,88,A fascinating Spanish self-help book that explores the journey.,Spanish,Entertainment,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/5536904-L.jpg
50,Golden Data,James Dubois,Science,1992,3.8,919,A fascinating Spanish science book that explores the universe.,Spanish,Motivation,Long,Curious,https://covers.openlibrary.org/b/id/5293648-L.jpg
51,Cosmic Forest,Alan Kumar,Fantasy,2023,3.6,297,A fascinating English fantasy book that explores the forest.,English,Motivation,Medium,"Emotional, Curious",https://covers.openlibrary.org/b/id/5807973-L.jpg
52,Secret Algorithm,James Chen,Self-Help,1964,4.8,116,A fascinating Hindi self-help book that explores the forest.,Hindi,Career growth,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/7227468-L.jpg
53,The Great Shadow,Jean Kumar,Fantasy,1983,4.0,253,A fascinating Spanish fantasy book that explores the heart.,Spanish,Motivation,Medium,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7217350-L.jpg
54,Pragmatic Universe,Ada Kumar,Science,1956,3.6,79,A fascinating French science book that explores the mind.,French,Career growth,Short,Emotional,https://covers.openlibrary.org/b/id/5073480-L.jpg
55,Silent Algorithm,Robert Dubois,Mystery,1989,4.8,248,A fascinating English mystery book that explores the universe.,English,Entertainment,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/6927467-L.jpg
56,Digital Dream,Sophie Kim,Fiction,2007,4.6,121,A fascinating Hindi fiction book that explores the habit.,Hindi,Motivation,Short,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/5731881-L.jpg
57,Silent Journey,Maria Dubois,Fantasy,1956,3.9,286,A fascinating Hindi fantasy book that explores the universe.,Hindi,Motivation,Medium,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7914488-L.jpg
58,The Great Habit,Isabella Kumar,Programming,1989,4.3,227,A fascinating English programming book that explores the forest.,English,Learning,Medium,Curious,https://covers.openlibrary.org/b/id/8399670-L.jpg
59,Golden Dream,James Patel,Mystery,1982,4.9,444,A fascinating English mystery book that explores the journey.,English,Motivation,Long,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5640117-L.jpg
60,Hidden Forest,Maria Martin,Science,1988,3.8,833,A fascinating English science book that explores the universe.,English,Learning,Long,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/7783780-L.jpg
61,Dark Data,Jean Kumar,Self-Help,1974,4.3,269,A fascinating Hindi self-help book that explores the light.,Hindi,Career growth,Medium,Emotional,https://covers.openlibrary.org/b/id/5797833-L.jpg
62,Pragmatic Light,Ada Lovelace,Self-Help,1968,4.5,710,A fascinating French self-help book that explores the light.,French,Entertainment,Long,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/8311867-L.jpg
63,The Great Universe,Ada Patel,Programming,2008,5.0,194,A fascinating French programming book that explores the mind.,French,Entertainment,Short,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/5757681-L.jpg
64,Golden Mystery,Isabella Dubois,Programming,1963,4.5,399,A fascinating French programming book that explores the journey.,French,Career growth,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/6356298-L.jpg
65,Final Universe,Ada Dubois,Programming,1998,4.7,124,A fascinating English programming book that explores the dream.,English,Entertainment,Short,Relaxed,https://covers.openlibrary.org/b/id/7700366-L.jpg
66,The Great History,James Kumar,Self-Help,1974,3.9,219,A fascinating Spanish self-help book that explores the light.,Spanish,Career growth,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5560839-L.jpg
67,Pragmatic Light,Alan Sharma,Fiction,1966,3.8,856,A fascinating English fiction book that explores the data.,English,Learning,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/6039679-L.jpg
68,Dark History,James Rodriguez,Programming,1958,3.9,243,A fascinating Spanish programming book that explores the forest.,Spanish,Motivation,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5298208-L.jpg
69,Magic Mind,Sophie Garcia,Mystery,1967,4.8,926,A fascinating Hindi mystery book that explores the dream.,Hindi,Learning,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/7760754-L.jpg
70,Magic Mystery,Robert Garcia,Science,1953,4.9,89,A fascinating Hindi science book that explores the data.,Hindi,Motivation,Short,Emotional,https://covers.openlibrary.org/b/id/5693879-L.jpg
71,Final Algorithm,Amit Garcia,Programming,1993,3.8,453,A fascinating Hindi programming book that explores the universe.,Hindi,Motivation,Long,Curious,https://covers.openlibrary.org/b/id/5099764-L.jpg
72,Dark Mind,Priya Smith,Science,1961,5.0,141,A fascinating English science book that explores the heart.,English,Career growth,Short,Inspired,https://covers.openlibrary.org/b/id/8542324-L.jpg
73,Cosmic Universe,Elena Chen,Fiction,1970,4.2,614,A fascinating Spanish fiction book that explores the light.,Spanish,Entertainment,Long,"Emotional, Inspired",https://covers.openlibrary.org/b/id/6601510-L.jpg
74,Silent Data,Alan Dubois,Self-Help,1982,4.3,796,A fascinating Hindi self-help book that explores the dream.,Hindi,Motivation,Long,Inspired,https://covers.openlibrary.org/b/id/7409685-L.jpg
75,Cosmic Data,Elena Chen,Mystery,1956,4.8,398,A fascinating Hindi mystery book that explores the mystery.,Hindi,Learning,Medium,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/8210608-L.jpg
76,Infinite Dream,Priya Smith,Fiction,1956,4.3,379,A fascinating English fiction book that explores the mystery.,English,Motivation,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/8489268-L.jpg
77,Secret Code,Amit Martin,Mystery,1983,4.6,261,A fascinating French mystery book that explores the algorithm.,French,Entertainment,Medium,Relaxed,https://covers.openlibrary.org/b/id/6726577-L.jpg
78,Brief Habit,Elena Kumar,Self-Help,1954,3.5,712,A fascinating Hindi self-help book that explores the forest.,Hindi,Motivation,Long,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/7528643-L.jpg
79,The Great Heart,James Kumar,Self-Help,2010,3.7,142,A fascinating English self-help book that explores the data.,English,Entertainment,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/8212657-L.jpg
80,Hidden Universe,Priya Patel,Fiction,2017,4.2,153,A fascinating Spanish fiction book that explores the shadow.,Spanish,Entertainment,Short,"Curious, Inspired",https://covers.openlibrary.org/b/id/8316627-L.jpg
81,Golden Algorithm,Jean Sharma,Self-Help,2007,4.6,104,A fascinating Spanish self-help book that explores the forest.,Spanish,Career growth,Short,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5429075-L.jpg
82,Pragmatic Shadow,Jean Rodriguez,Mystery,1981,3.8,292,A fascinating English mystery book that explores the forest.,English,Entertainment,Medium,Relaxed,https://covers.openlibrary.org/b/id/7026322-L.jpg
83,Secret Light,Carlos Rodriguez,Fiction,1973,3.8,934,A fascinating Spanish fiction book that explores the code.,Spanish,Motivation,Long,Inspired,https://covers.openlibrary.org/b/id/5013670-L.jpg
84,Magic Universe,Robert Dubois,Programming,1990,5.0,604,A fascinating Hindi programming book that explores the history.,Hindi,Learning,Long,Curious,https://covers.openlibrary.org/b/id/6972705-L.jpg
85,Brief Mystery,Carlos Smith,Science,2006,3.8,951,A fascinating Spanish science book that explores the history.,Spanish,Entertainment,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/6596913-L.jpg
86,Infinite Code,Jean Lovelace,Fantasy,2017,3.8,152,A fascinating French fantasy book that explores the shadow.,French,Learning,Short,Curious,https://covers.openlibrary.org/b/id/5756656-L.jpg
87,Magic Mind,Maria Turing,Fantasy,1974,3.8,454,A fascinating Spanish fantasy book that explores the mystery.,Spanish,Motivation,Long,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/6999130-L.jpg
88,Silent Heart,Amit Chen,Programming,1960,4.1,80,A fascinating Spanish programming book that explores the universe.,Spanish,Entertainment,Short,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5146568-L.jpg
89,Magic Data,Elena Martin,Mystery,1966,4.7,258,A fascinating English mystery book that explores the data.,English,Learning,Medium,"Emotional, Inspired",https://covers.openlibrary.org/b/id/6012617-L.jpg
90,The Great Heart,Alan Dubois,Programming,1963,3.9,70,A fascinating French programming book that explores the dream.,French,Motivation,Short,Emotional,https://covers.openlibrary.org/b/id/7904713-L.jpg
91,Hidden Code,Sophie Martin,Mystery,1992,4.0,914,A fascinating Spanish mystery book that explores the mystery.,Spanish,Learning,Long,"Emotional, Curious",https://covers.openlibrary.org/b/id/8104191-L.jpg
92,Brief Journey,Maria Kim,Science,1962,3.5,129,A fascinating Spanish science book that explores the code.,Spanish,Entertainment,Short,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7360352-L.jpg
93,Silent Algorithm,James Dubois,Fantasy,1958,4.8,54,A fascinating Spanish fantasy book that explores the heart.,Spanish,Career growth,Short,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/6235943-L.jpg
94,Dark Habit,Robert Martin,Programming,1998,4.0,546,A fascinating Spanish programming book that explores the universe.,Spanish,Career growth,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/8072051-L.jpg
95,The Great Dream,Ada Kumar,Mystery,1979,3.6,617,A fascinating French mystery book that explores the mind.,French,Motivation,Long,Inspired,https://covers.openlibrary.org/b/id/5742375-L.jpg
96,Golden Mystery,Elena Kumar,Fiction,1975,4.6,277,A fascinating French fiction book that explores the history.,French,Entertainment,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/8927918-L.jpg
97,Digital Data,Priya Lovelace,Mystery,2017,3.6,184,A fascinating English mystery book that explores the data.,English,Entertainment,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/6017845-L.jpg
98,Lost Data,Ada Kumar,Mystery,2005,4.6,123,A fascinating French mystery book that explores the dream.,French,Career growth,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/8102950-L.jpg
99,Silent Journey,James Kim,Science,2019,3.5,381,A fascinating English science book that explores the light.,English,Entertainment,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5280912-L.jpg
100,Dark Code,Sophie Patel,Programming,2017,4.5,841,A fascinating French programming book that explores the light.,French,Entertainment,Long,"Relaxed, Curious",https://covers.openlibrary.org/b/id/6401707-L.jpg
101,Brief Heart,Amit Dubois,Self-Help,1998,3.7,84,A fascinating English self-help book that explores the light.,English,Career growth,Short,Curious,https://covers.openlibrary.org/b/id/8028722-L.jpg
102,Pragmatic Code,Carlos Rodriguez,Programming,2005,5.0,703,A fascinating English programming book that explores the forest.,English,Career growth,Long,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5318452-L.jpg
103,Hidden Journey,Maria Rodriguez,Fiction,2009,4.4,542,A fascinating French fiction book that explores the universe.,French,Career growth,Long,"Relaxed, Curious",https://covers.openlibrary.org/b/id/8283790-L.jpg
104,Secret Journey,Alan Kumar,Self-Help,1964,4.3,221,A fascinating French self-help book that explores the mystery.,French,Career growth,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/8794468-L.jpg
105,Brief Universe,Jean Smith,Programming,2023,3.8,201,A fascinating English programming book that explores the dream.,English,Learning,Medium,Inspired,https://covers.openlibrary.org/b/id/7269333-L.jpg
106,Brief Algorithm,Isabella Lovelace,Self-Help,1970,4.2,97,A fascinating English self-help book that explores the history.,English,Career growth,Short,"Relaxed, Curious",https://covers.openlibrary.org/b/id/6855784-L.jpg
107,Hidden Heart,Amit Lovelace,Fiction,2007,3.8,289,A fascinating Spanish fiction book that explores the mind.,Spanish,Career growth,Medium,"Emotional, Inspired",https://covers.openlibrary.org/b/id/5308788-L.jpg
108,Brief Data,Sophie Garcia,Mystery,1993,3.9,606,A fascinating French mystery book that explores the forest.,French,Entertainment,Long,"Relaxed, Curious",https://covers.openlibrary.org/b/id/6448718-L.jpg
109,Digital Mystery,Isabella Kim,Self-Help,1965,5.0,122,A fascinating English self-help book that explores the data.,English,Learning,Short,Inspired,https://covers.openlibrary.org/b/id/8594058-L.jpg
110,Brief Light,James Kim,Science,1986,4.6,156,A fascinating English science book that explores the mind.,English,Motivation,Short,Relaxed,https://covers.openlibrary.org/b/id/8497616-L.jpg
111,Brief Code,James Chen,Fantasy,1960,4.3,308,A fascinating English fantasy book that explores the code.,English,Learning,Medium,"Emotional, Curious",https://covers.openlibrary.org/b/id/6519650-L.jpg
112,Secret Data,Elena Patel,Science,1985,4.7,104,A fascinating English science book that explores the universe.,English,Learning,Short,"Emotional, Inspired",https://covers.openlibrary.org/b/id/7399373-L.jpg
113,Digital Light,Ada Chen,Mystery,2008,3.8,290,A fascinating English mystery book that explores the shadow.,English,Motivation,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/7219390-L.jpg
114,Silent Mystery,Carlos Turing,Science,2021,4.0,172,A fascinating English science book that explores the habit.,English,Career growth,Short,"Curious, Inspired",https://covers.openlibrary.org/b/id/5887538-L.jpg
115,Brief Mystery,Priya Chen,Fantasy,1965,4.9,318,A fascinating Hindi fantasy book that explores the universe.,Hindi,Motivation,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/7597014-L.jpg
116,Infinite Dream,Amit Dubois,Fiction,1965,3.6,96,A fascinating Hindi fiction book that explores the code.,Hindi,Entertainment,Short,Relaxed,https://covers.openlibrary.org/b/id/8497685-L.jpg
117,Final Light,Carlos Rodriguez,Fiction,1964,4.9,241,A fascinating French fiction book that explores the history.,French,Career growth,Medium,Relaxed,https://covers.openlibrary.org/b/id/6290781-L.jpg
118,Lost Data,Elena Sharma,Programming,1979,4.0,113,A fascinating French programming book that explores the heart.,French,Motivation,Short,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7650787-L.jpg
119,Dark Algorithm,Isabella Lovelace,Programming,1972,4.3,342,A fascinating Spanish programming book that explores the forest.,Spanish,Entertainment,Medium,Curious,https://covers.openlibrary.org/b/id/5292732-L.jpg
120,Dark Algorithm,Elena Garcia,Programming,1973,4.2,145,A fascinating Hindi programming book that explores the algorithm.,Hindi,Career growth,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5111081-L.jpg
121,The Great Light,Alan Dubois,Science,1978,3.9,272,A fascinating Hindi science book that explores the light.,Hindi,Career growth,Medium,Inspired,https://covers.openlibrary.org/b/id/8797961-L.jpg
122,Dark Mind,Ada Kim,Fiction,1974,4.7,189,A fascinating French fiction book that explores the heart.,French,Motivation,Short,"Curious, Inspired",https://covers.openlibrary.org/b/id/8443394-L.jpg
123,Lost Universe,Robert Turing,Self-Help,1972,4.4,88,A fascinating Spanish self-help book that explores the universe.,Spanish,Learning,Short,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5842459-L.jpg
124,Cosmic Light,James Turing,Science,1978,4.1,447,A fascinating English science book that explores the universe.,English,Motivation,Long,Curious,https://covers.openlibrary.org/b/id/7521532-L.jpg
125,Infinite Journey,Ada Martin,Fantasy,1955,3.8,199,A fascinating English fantasy book that explores the mystery.,English,Entertainment,Short,Curious,https://covers.openlibrary.org/b/id/6439911-L.jpg
126,Hidden Code,Elena Lovelace,Self-Help,1977,4.2,255,A fascinating French self-help book that explores the habit.,French,Learning,Medium,"Emotional, Curious",https://covers.openlibrary.org/b/id/5222156-L.jpg
127,Dark Forest,Robert Rodriguez,Fantasy,2006,4.6,802,A fascinating French fantasy book that explores the mystery.,French,Motivation,Long,Emotional,https://covers.openlibrary.org/b/id/6956871-L.jpg
128,Final Heart,Ada Rodriguez,Programming,2007,4.1,473,A fascinating Spanish programming book that explores the mystery.,Spanish,Learning,Long,"Emotional, Inspired",https://covers.openlibrary.org/b/id/7716105-L.jpg
129,Final Algorithm,Maria Lovelace,Programming,2010,3.8,143,A fascinating Hindi programming book that explores the heart.,Hindi,Career growth,Short,"Emotional, Inspired",https://covers.openlibrary.org/b/id/7611896-L.jpg
130,Cosmic Dream,Elena Rodriguez,Fantasy,1952,4.3,51,A fascinating Spanish fantasy book that explores the shadow.,Spanish,Entertainment,Short,"Emotional, Inspired",https://covers.openlibrary.org/b/id/7256699-L.jpg
131,Pragmatic Light,Carlos Dubois,Fantasy,1965,4.6,228,A fascinating Hindi fantasy book that explores the journey.,Hindi,Career growth,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/7800398-L.jpg
132,Pragmatic Forest,Alan Dubois,Fiction,1964,3.6,701,A fascinating French fiction book that explores the dream.,French,Entertainment,Long,Relaxed,https://covers.openlibrary.org/b/id/7674598-L.jpg
133,Lost Mind,Amit Kumar,Programming,1977,3.8,846,A fascinating Spanish programming book that explores the dream.,Spanish,Motivation,Long,Curious,https://covers.openlibrary.org/b/id/5229675-L.jpg
134,Silent Forest,Ada Dubois,Mystery,2019,4.3,83,A fascinating Hindi mystery book that explores the data.,Hindi,Learning,Short,Relaxed,https://covers.openlibrary.org/b/id/6900546-L.jpg
135,The Great Light,Robert Turing,Programming,2010,4.7,800,A fascinating English programming book that explores the mystery.,English,Motivation,Long,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/7170389-L.jpg
136,Lost History,Robert Garcia,Mystery,1966,3.5,198,A fascinating English mystery book that explores the code.,English,Career growth,Short,Emotional,https://covers.openlibrary.org/b/id/8196072-L.jpg
137,Magic Journey,Sophie Kim,Programming,2016,3.6,712,A fascinating Spanish programming book that explores the code.,Spanish,Entertainment,Long,Emotional,https://covers.openlibrary.org/b/id/8533946-L.jpg
138,Lost Light,Amit Martin,Mystery,1966,3.6,179,A fascinating Hindi mystery book that explores the forest.,Hindi,Career growth,Short,Curious,https://covers.openlibrary.org/b/id/6808579-L.jpg
139,The Great Shadow,Priya Kim,Mystery,2009,4.2,597,A fascinating Hindi mystery book that explores the light.,Hindi,Entertainment,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/5389683-L.jpg
140,Lost Mind,Amit Sharma,Self-Help,1978,4.3,120,A fascinating French self-help book that explores the history.,French,Learning,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/7828742-L.jpg
141,Dark History,Maria Smith,Mystery,1968,4.1,255,A fascinating French mystery book that explores the dream.,French,Career growth,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/7180071-L.jpg
142,Magic Dream,Carlos Martin,Programming,1971,4.2,736,A fascinating Hindi programming book that explores the algorithm.,Hindi,Entertainment,Long,Inspired,https://covers.openlibrary.org/b/id/5146744-L.jpg
